,q0.025,q0.500,q0.975,time,entry
0,0.011173902694613193,0.012936347563729007,0.014872535669495628,1.1e-05,./leaderboard_entries/likelihood_with_time.py
0,0.009667581036942598,0.011309394257574238,0.013125146291937248,8e-06,./leaderboard_entries/likelihood.py
0,0.009315355047135201,0.010931003934392324,0.012721342870122821,1e-05,./leaderboard_entries/pytorch_CB_log.py
0,0.009198465100092224,0.010828950435362573,0.012639420647344751,1.2e-05,./leaderboard_entries/dump_agent.py
0,0.009113300395452576,0.010716968973935656,0.012496469304376525,8e-06,./leaderboard_entries/reweighted_likelihood.py
0,0.008987978701961915,0.010575501781474485,0.012337729666815532,9e-06,./leaderboard_entries/organic_user_count.py
0,0.008974200992345865,0.0105593035193686,0.012318849052290439,1.2e-05,./leaderboard_entries/bandit_count.py
0,0.008913954129968952,0.010488471650367889,0.01223628716746282,9e-06,./leaderboard_entries/context_bandit.py
0,0.008828237390408911,0.01039344181896631,0.012131546947084433,8e-06,./leaderboard_entries/organic_count.py
0,0.008671748678639611,0.010238517518675801,0.011981508900724278,1.2e-05,./leaderboard_entries/pytorch_likelihood.py
0,0.008511898112010639,0.010055849476838569,0.011774140309474726,8e-06,./leaderboard_entries/pytorch_CB.py
0,0.008212941688626928,0.009726425409408523,0.011413446763649856,1.9e-05,./leaderboard_entries/bandit_mf_square.py
0,0.00810643886481372,0.009577200275326322,0.011214165507989886,9e-06,./leaderboard_entries/rand_agent.py
